N,E,psi,u,v,r
4.64211e-310,0,0,4.64211e-310,4.64211e-310,0,
4.64211e-310,0,0,4.64211e-310,4.64211e-310,0,
4.64211e-310,0,0,4.64211e-310,4.64211e-310,0,
533.826,-165.49,3.04745,0.00164139,0,0,
533.826,-165.49,3.04745,0.00164139,0,0,
532.706,-166.334,3.0428,0.00164139,0,0,
532.706,-166.334,3.0428,0.00164139,0,0,
531.587,-167.179,3.03816,0.00164139,0,0,
531.587,-167.179,3.03816,0.00164139,0,0,
530.467,-168.024,3.03351,0.00164139,0,0,
530.467,-168.024,3.03351,0.00164139,0,0,
529.04,-168.642,3.27767,-0.000114344,0,0,
529.04,-168.642,3.27767,-0.000114344,0,0,
528.074,-169.6,3.14862,0.00164139,0,0,
528.074,-169.6,3.14862,0.00164139,0,0,
526.954,-170.444,3.14398,0.00164139,0,0,
526.954,-170.444,3.14398,0.00164139,0,0,
525.834,-171.289,3.13933,0.00164139,0,0,
525.834,-171.289,3.13933,0.00164139,0,0,
524.715,-172.134,3.13469,0.00164139,0,0,
524.715,-172.134,3.13469,0.00164139,0,0,
523.595,-172.978,3.13004,0.00164139,0,0,
523.595,-172.978,3.13004,0.00164139,0,0,
522.475,-173.823,3.1254,0.00164139,0,0,
522.475,-173.823,3.1254,0.00164139,0,0,
521.356,-174.668,3.12075,0.00164139,0,0,
521.356,-174.668,3.12075,0.00164139,0,0,
520.236,-175.512,3.11611,0.00164139,0,0,
520.236,-175.512,3.11611,0.00164139,0,0,
519.116,-176.357,3.11146,0.00164139,0,0,
519.116,-176.357,3.11146,0.00164139,0,0,
517.996,-177.202,3.10682,0.00164139,0,0,
517.996,-177.202,3.10682,0.00164139,0,0,
516.877,-178.046,3.10217,0.00164139,0,0,
516.877,-178.046,3.10217,0.00164139,0,0,
515.757,-178.891,3.09753,0.00164139,0,0,
515.757,-178.891,3.09753,0.00164139,0,0,
514.637,-179.736,3.09288,0.00164139,0,0,
514.637,-179.736,3.09288,0.00164139,0,0,
513.517,-180.58,3.08824,0.00164139,0,0,
513.517,-180.58,3.08824,0.00164139,0,0,
512.398,-181.425,3.08359,0.00164139,0,0,
512.398,-181.425,3.08359,0.00164139,0,0,
514.237,-183.339,3.17728,0.000523461,0,0,
514.237,-183.339,3.17728,0.000523461,0,0,
511.638,-183.649,3.12347,0.00164139,0,0,
511.638,-183.649,3.12347,0.00164139,0,0,
514.07,-185.358,3.01128,-0.00036314,0,0,
514.07,-185.358,3.01128,-0.00036314,0,0,
512.41,-186.558,3.18486,-0.000153496,0,0,
512.41,-186.558,3.18486,-0.000153496,0,0,
510.673,-187.009,3.11799,0.00164139,0,0,
510.673,-187.009,3.11799,0.00164139,0,0,
513.104,-188.718,3.0058,-0.00036314,0,0,
513.104,-188.718,3.0058,-0.00036314,0,0,
511.445,-189.918,3.17939,-0.000153496,0,0,
511.445,-189.918,3.17939,-0.000153496,0,0,
509.707,-190.369,3.11251,0.00164139,0,0,
509.707,-190.369,3.11251,0.00164139,0,0,
512.139,-192.077,3.00032,-0.00036314,0,0,
512.139,-192.077,3.00032,-0.00036314,0,0,
512.203,-193.56,3.14778,0.000523461,0,0,
512.203,-193.56,3.14778,0.000523461,0,0,
509.604,-193.869,3.09397,0.00164139,0,0,
509.604,-193.869,3.09397,0.00164139,0,0,
510.333,-194.768,3.13287,0.0012008,0,0,
510.333,-194.768,3.13287,0.0012008,0,0,
510.089,-195.585,3.0727,0.0012424,0,0,
510.089,-195.585,3.0727,0.0012424,0,0,
510.827,-196.502,3.10043,0.0012008,0,0,
510.827,-196.502,3.10043,0.0012008,0,0,
510.631,-197.373,3.11756,0.0012008,0,0,
510.631,-197.373,3.11756,0.0012008,0,0,
508.587,-198.191,3.09114,0.00164139,0,0,
508.587,-198.191,3.09114,0.00164139,0,0,
511.133,-199.125,3.07395,0.000486939,0,0,
511.133,-199.125,3.07395,0.000486939,0,0,
510.017,-198.535,3.1196,0.000524663,0,0,
510.017,-198.535,3.1196,0.000524663,0,0,
510.719,-198.933,3.08619,0.000316752,0,0,
510.719,-198.933,3.08619,0.000316752,0,0,
510.574,-198.297,3.08674,-4.23083e-05,0,0,
510.574,-198.297,3.08674,-4.23083e-05,0,0,
510.493,-197.62,3.10504,-0.000266416,0,0,
510.493,-197.62,3.10504,-0.000266416,0,0,
510.518,-198.471,3.08376,0.000586052,0,0,
510.518,-198.471,3.08376,0.000586052,0,0,
510.082,-198.553,3.1256,0.000524663,0,0,
510.082,-198.553,3.1256,0.000524663,0,0,
510.349,-198.839,3.09402,0.000586052,0,0,
510.349,-198.839,3.09402,0.000586052,0,0,
510.639,-198.315,3.09274,-4.23083e-05,0,0,
510.639,-198.315,3.09274,-4.23083e-05,0,0,
510.578,-198.656,3.08539,0.00036374,0,0,
510.578,-198.656,3.08539,0.00036374,0,0,
510.591,-197.856,3.10393,-0.000266416,0,0,
510.591,-197.856,3.10393,-0.000266416,0,0,
510.651,-198.459,3.08534,0.00036374,0,0,
510.651,-198.459,3.08534,0.00036374,0,0,
510.18,-198.788,3.1245,0.000524663,0,0,
510.18,-198.788,3.1245,0.000524663,0,0,
510.576,-198.703,3.09583,-4.23083e-05,0,0,
510.576,-198.703,3.09583,-4.23083e-05,0,0,
510.736,-198.266,3.09095,0.000797768,0,0,
510.736,-198.266,3.09095,0.000797768,0,0,
510.656,-197.874,3.10994,-0.000266416,0,0,
510.656,-197.874,3.10994,-0.000266416,0,0,
510.681,-198.724,3.08866,0.000586052,0,0,
510.681,-198.724,3.08866,0.000586052,0,0,
510.85,-197.938,3.09863,-0.000266416,0,0,
510.85,-197.938,3.09863,-0.000266416,0,0,
510.025,-198.796,3.115,0.000458149,0,0,
510.025,-198.796,3.115,0.000458149,0,0,
510.673,-198.939,3.09473,0.000586052,0,0,
510.673,-198.939,3.09473,0.000586052,0,0,
510.871,-198.538,3.09321,0.00036374,0,0,
510.871,-198.538,3.09321,0.00036374,0,0,
509.627,-198.236,3.10023,0.00139169,0,0,
509.627,-198.236,3.10023,0.00139169,0,0,
510.409,-198.467,3.08764,-4.23083e-05,0,0,
510.409,-198.467,3.08764,-4.23083e-05,0,0,
510.328,-197.79,3.10593,-0.000266416,0,0,
510.328,-197.79,3.10593,-0.000266416,0,0,
510.388,-198.393,3.08734,0.00036374,0,0,
510.388,-198.393,3.08734,0.00036374,0,0,
510.462,-197.82,3.11615,-0.000361516,0,0,
