N,E,psi,u,v,r
4.6811e-310,0,0,4.6811e-310,4.6811e-310,0,
532.52,-161.688,-2.15778,0.000316752,0,0,
532.52,-161.688,-2.15778,0.000316752,0,0,
532.52,-161.688,-2.15778,0.000316752,0,0,
532.376,-161.052,-2.15723,-4.23083e-05,0,0,
532.376,-161.052,-2.15723,-4.23083e-05,0,0,
532.314,-161.393,-2.16458,0.00036374,0,0,
532.314,-161.393,-2.16458,0.00036374,0,0,
532.327,-160.593,-2.14605,-0.000266416,0,0,
532.327,-160.593,-2.14605,-0.000266416,0,0,
532.387,-161.196,-2.16464,0.00036374,0,0,
532.387,-161.196,-2.16464,0.00036374,0,0,
532.219,-161.188,-2.12552,-0.000361516,0,0,
532.219,-161.188,-2.12552,-0.000361516,0,0,
532.312,-161.441,-2.15414,-4.23083e-05,0,0,
532.312,-161.441,-2.15414,-4.23083e-05,0,0,
532.473,-161.288,-2.15834,-4.23083e-05,0,0,
532.473,-161.288,-2.15834,-4.23083e-05,0,0,
532.514,-160.873,-2.15128,-0.000266416,0,0,
532.514,-160.873,-2.15128,-0.000266416,0,0,
532.312,-161.023,-2.13392,-0.000266416,0,0,
532.312,-161.023,-2.13392,-0.000266416,0,0,
532.372,-161.626,-2.15251,0.00036374,0,0,
532.372,-161.626,-2.15251,0.00036374,0,0,
532.626,-161.065,-2.15716,0.000797768,0,0,
532.626,-161.065,-2.15716,0.000797768,0,0,
532.668,-160.935,-2.14941,-0.000266416,0,0,
532.668,-160.935,-2.14941,-0.000266416,0,0,
531.452,-161.017,-2.15388,0.00139169,0,0,
531.452,-161.017,-2.15388,0.00139169,0,0,
532.363,-160.877,-2.16356,-4.23083e-05,0,0,
532.363,-160.877,-2.16356,-4.23083e-05,0,0,
531.798,-161.33,-2.12463,0.000524663,0,0,
531.798,-161.33,-2.12463,0.000524663,0,0,
532.5,-161.728,-2.15804,0.000316752,0,0,
532.5,-161.728,-2.15804,0.000316752,0,0,
532.356,-161.092,-2.15749,-4.23083e-05,0,0,
532.356,-161.092,-2.15749,-4.23083e-05,0,0,
