N,E,psi,u,v,r
4.64211e-310,0,6.89276e+228,1.41463e+190,1.064e+248,2.58644e+185,
509.689,-198.528,3.09358,0.00098661,0.00243573,0.000489535,
509.689,-198.528,3.09358,0.00098661,0.00243573,0.000489535,
509.689,-198.528,3.09365,-0.0012246,0.00194091,0.00048308,
509.689,-198.528,3.09371,-0.00339467,0.00141081,0.000474703,
509.688,-198.528,3.09377,-0.00494825,0.00104813,0.000470822,
509.688,-198.528,3.09382,-0.00607882,0.000763693,0.000471656,
509.687,-198.528,3.09387,-0.00635395,0.000626079,0.000475683,
509.686,-198.528,3.09393,-0.00582858,0.000674699,0.000482212,
509.686,-198.527,3.09397,-0.00472189,0.000918478,0.00048655,
509.685,-198.527,3.09403,-0.00287244,0.00132817,0.000488149,
509.685,-198.527,3.0941,-0.000750342,0.00180087,0.000487666,
509.685,-198.527,3.09415,0.000983942,0.00225656,0.000488342,
509.685,-198.527,3.09422,0.00256873,0.00274492,0.000493068,
509.685,-198.526,3.09428,0.00333531,0.00301051,0.000500015,
509.686,-198.526,3.09436,0.00338563,0.00312976,0.000508541,
509.686,-198.525,3.09442,0.00267301,0.00309183,0.000513418,
509.687,-198.525,3.09449,0.00103389,0.00283568,0.000511549,
509.687,-198.525,3.09456,-0.00125214,0.00236783,0.000500304,
509.686,-198.524,3.09461,-0.00344206,0.00191671,0.000488501,
509.686,-198.524,3.09468,-0.00586232,0.00141704,0.000478524,
509.685,-198.524,3.09473,-0.00750842,0.00101908,0.000475738,
509.684,-198.524,3.09479,-0.00864162,0.000674742,0.000481697,
509.683,-198.524,3.09485,-0.0087816,0.000569218,0.000494961,
509.682,-198.524,3.09489,-0.00811546,0.000648926,0.00050631,
509.681,-198.524,3.09495,-0.00656967,0.00088636,0.000513481,
509.68,-198.524,3.095,-0.00477061,0.00122693,0.000511816,
509.68,-198.523,3.09506,-0.00242224,0.00174381,0.00050115,
509.679,-198.523,3.09511,-0.000474092,0.0021793,0.000489363,
509.679,-198.523,3.09519,0.00140366,0.00260293,0.00047839,
509.68,-198.522,3.09526,0.0025943,0.00292567,0.000472971,
509.68,-198.522,3.09533,0.00294434,0.00306055,0.000473293,
509.68,-198.522,3.09541,0.00253777,0.00298397,0.000477042,
509.681,-198.521,3.09547,0.00155244,0.00276087,0.00047975,
509.681,-198.521,3.09554,-0.000159935,0.00239106,0.000480482,
509.681,-198.521,3.0956,-0.00188549,0.0019899,0.00047973,
509.68,-198.521,3.09566,-0.00385485,0.00148354,0.000479932,
509.68,-198.52,3.09572,-0.00539995,0.00107414,0.000484208,
509.679,-198.52,3.09577,-0.00615155,0.000847409,0.000491131,
